"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","511","Negative Login Cases (Data-driven) (example #3)","","Thu Mar 05 04:30:28 UTC 2026","passed","Thu Mar 05 04:30:29 UTC 2026","","Saucedemo Login and Shopping Flow","",""
"","940","Negative Login Cases (Data-driven) (example #1)","","Thu Mar 05 04:30:27 UTC 2026","passed","Thu Mar 05 04:30:27 UTC 2026","","Saucedemo Login and Shopping Flow","",""
"","277","should visit the login page (homepage","Basic Selector & Actions - Sauce Demo","Thu Mar 05 04:30:35 UTC 2026","passed","Thu Mar 05 04:30:35 UTC 2026","","1. Visit Page (cy.visit)","",""
"","508","Negative Login Cases (Data-driven) (example #4)","","Thu Mar 05 04:30:29 UTC 2026","passed","Thu Mar 05 04:30:29 UTC 2026","","Saucedemo Login and Shopping Flow","",""
"","581","Should clear field and retype username","Basic Selector & Actions - Sauce Demo","Thu Mar 05 04:30:38 UTC 2026","passed","Thu Mar 05 04:30:39 UTC 2026","3. Type Text - Mengetik di Input Field","1. Visit Page (cy.visit)","",""
"","958","Add Sauce Labs Backpack to the cart and verify badge","","Thu Mar 05 04:30:30 UTC 2026","passed","Thu Mar 05 04:30:31 UTC 2026","","Saucedemo Login and Shopping Flow","",""
"","342","Should type username into username field","Basic Selector & Actions - Sauce Demo","Thu Mar 05 04:30:37 UTC 2026","passed","Thu Mar 05 04:30:38 UTC 2026","3. Type Text - Mengetik di Input Field","1. Visit Page (cy.visit)","",""
"","819","should visit the inventory page (After Login)   ","Basic Selector & Actions - Sauce Demo","Thu Mar 05 04:30:35 UTC 2026","passed","Thu Mar 05 04:30:36 UTC 2026","","1. Visit Page (cy.visit)","",""
"","72","get element by ID -> #user-name","Basic Selector & Actions - Sauce Demo","Thu Mar 05 04:30:37 UTC 2026","passed","Thu Mar 05 04:30:37 UTC 2026","Basic Selector & Actions - Sauce Demo","1. Visit Page (cy.visit)","",""
"","843","Negative Login Cases (Data-driven) (example #2)","","Thu Mar 05 04:30:28 UTC 2026","passed","Thu Mar 05 04:30:28 UTC 2026","","Saucedemo Login and Shopping Flow","",""
"","332","Should type password into password field","Basic Selector & Actions - Sauce Demo","Thu Mar 05 04:30:38 UTC 2026","passed","Thu Mar 05 04:30:38 UTC 2026","3. Type Text - Mengetik di Input Field","1. Visit Page (cy.visit)","",""
"","71","get element by Class -> .login_container","Basic Selector & Actions - Sauce Demo","Thu Mar 05 04:30:37 UTC 2026","passed","Thu Mar 05 04:30:37 UTC 2026","Basic Selector & Actions - Sauce Demo","1. Visit Page (cy.visit)","",""
"","1204","Successful login using standard_user custom command","","Thu Mar 05 04:30:24 UTC 2026","passed","Thu Mar 05 04:30:25 UTC 2026","","Saucedemo Login and Shopping Flow","",""
"","77","get element by Tag -> input","Basic Selector & Actions - Sauce Demo","Thu Mar 05 04:30:37 UTC 2026","passed","Thu Mar 05 04:30:37 UTC 2026","Basic Selector & Actions - Sauce Demo","1. Visit Page (cy.visit)","",""
"","70","get element by Combined selector -> input#user-name","Basic Selector & Actions - Sauce Demo","Thu Mar 05 04:30:37 UTC 2026","passed","Thu Mar 05 04:30:37 UTC 2026","Basic Selector & Actions - Sauce Demo","1. Visit Page (cy.visit)","",""
"","82","get element by Text -> cy.contains","Basic Selector & Actions - Sauce Demo","Thu Mar 05 04:30:37 UTC 2026","passed","Thu Mar 05 04:30:37 UTC 2026","Basic Selector & Actions - Sauce Demo","1. Visit Page (cy.visit)","",""
"","1034","Data-Driven Login using fixture","","Thu Mar 05 04:30:25 UTC 2026","passed","Thu Mar 05 04:30:26 UTC 2026","","Saucedemo Login and Shopping Flow","",""
"","2902","Complete checkout successfully","","Thu Mar 05 04:30:18 UTC 2026","passed","Thu Mar 05 04:30:21 UTC 2026","","Checkout Process","",""
"","74","get element by Attribute -> input[type=""password""]","Basic Selector & Actions - Sauce Demo","Thu Mar 05 04:30:37 UTC 2026","passed","Thu Mar 05 04:30:37 UTC 2026","Basic Selector & Actions - Sauce Demo","1. Visit Page (cy.visit)","",""
"","405","Should clear field and retype password","Basic Selector & Actions - Sauce Demo","Thu Mar 05 04:30:39 UTC 2026","passed","Thu Mar 05 04:30:39 UTC 2026","3. Type Text - Mengetik di Input Field","1. Visit Page (cy.visit)","",""
"","864","should visit the cart page (After Login)   ","Basic Selector & Actions - Sauce Demo","Thu Mar 05 04:30:36 UTC 2026","passed","Thu Mar 05 04:30:37 UTC 2026","","1. Visit Page (cy.visit)","",""
